"TimeString";"Temp_hum_estatico";"Temp_sec_estatico"
"2021-04-21 18:13:24";24,56055;38,67188
"2021-04-21 18:14:24";24,84809;39,10048
"2021-04-21 18:15:24";24,60395;39,93056
"2021-04-21 18:16:24";24,41949;39,15473
"2021-04-21 18:17:24";24,63108;38,81836
"2021-04-21 18:18:24";24,34353;38,94314
"2021-04-21 18:19:24";23,99631;39,21441
"2021-04-21 18:20:24";24,14822;39,90886
"2021-04-21 18:21:24";24,06684;40,86914
"2021-04-21 18:22:24";21,79362;38,11849
"2021-04-21 18:23:24";22,94922;26,94227
"2021-04-21 18:24:24";23,39952;26,32378
"2021-04-21 18:25:24";24,08854;27,84831
"2021-04-21 18:26:24";24,71788;28,38542
"2021-04-21 18:27:24";24,72331;28,59158
"2021-04-21 18:28:24";24,38694;30,22461
"2021-04-21 18:29:24";24,33268;36,7079
"2021-04-21 18:30:24";24,09939;37,71159
"2021-04-21 18:31:24";24,32183;37,32639
"2021-04-21 18:32:24";24,07769;37,0931
"2021-04-21 18:33:24";23,92578;36,7296
"2021-04-21 18:34:24";24,10482;36,7296
"2021-04-21 18:35:24";24,31641;37,06597
"2021-04-21 18:36:24";24,01259;36,93034
"2021-04-21 18:37:24";23,96376;36,7296
"2021-04-21 18:38:24";24,44119;37,23416
"2021-04-21 18:39:24";23,73589;37,19075
"2021-04-21 18:40:24";23,65451;37,8418
"2021-04-21 18:41:24";23,47548;37,28841
"2021-04-21 18:42:24";21,57661;36,6645
"2021-04-21 18:43:24";22,42296;26,50825
"2021-04-21 18:44:24";23,23134;26,38346
"2021-04-21 18:45:24";23,4809;27,16471
"2021-04-21 18:46:24";23,33984;27,78863
"2021-04-21 18:47:24";23,73589;28,71636
"2021-04-21 18:48:24";23,80642;28,75977
"2021-04-21 18:49:24";23,69249;28,27148
"2021-04-21 18:50:24";23,70877;28,58073
"2021-04-21 18:51:24";23,57313;28,8737
"2021-04-21 18:52:24";23,47548;29,62782
"2021-04-21 18:53:24";23,86068;31,39106
"2021-04-21 18:54:24";23,47005;37,50542
"2021-04-21 18:55:24";23,58398;38,91602
"2021-04-21 18:56:24";23,69249;39,10048
"2021-04-21 18:57:24";23,69792;38,00998
"2021-04-21 18:58:24";23,62739;38,19444
"2021-04-21 18:59:24";23,38325;38,19987
"2021-04-21 19:00:23";23,56228;37,85807
"2021-04-21 19:01:23";23,5026;38,14019
"2021-04-21 19:02:23";21,1697;35,68251
"2021-04-21 19:03:23";22,2819;26,27496
"2021-04-21 19:04:23";22,7105;25,78667
"2021-04-21 19:05:23";23,1174;25,8355
"2021-04-21 19:06:23";23,25304;26,16102
"2021-04-21 19:07:23";23,16623;25,55881
"2021-04-21 19:08:23";22,97635;25,7053
"2021-04-21 19:09:24";22,96007;26,31836
"2021-04-21 19:10:23";22,99262;30,5447
"2021-04-21 19:11:23";23,0089;34,12543
"2021-04-21 19:12:23";23,15538;34,90126
"2021-04-21 19:13:23";23,09028;34,27192
"2021-04-21 19:14:23";22,80273;34,40213
"2021-04-21 19:15:23";22,54232;34,34245
"2021-04-21 19:16:23";22,76476;34,92839
"2021-04-21 19:17:23";22,79188;34,98264
"2021-04-21 19:18:23";23,00347;34,92839
"2021-04-21 19:19:23";22,98177;35,11285
"2021-04-21 19:20:23";23,01975;35,37326
"2021-04-21 19:21:23";23,01432;34,54319
"2021-04-21 19:22:23";22,6671;34,61914
"2021-04-21 19:23:23";22,67795;34,86328
"2021-04-21 19:24:23";22,79188;35,30273
"2021-04-21 19:25:23";22,78646;35,05317
"2021-04-21 19:26:23";22,63455;34,71137
"2021-04-21 19:27:23";22,31445;34,35872
"2021-04-21 19:28:23";21,9184;33,6697
"2021-04-21 19:29:24";21,875;33,06749
"2021-04-21 19:30:23";21,83702;32,67686
"2021-04-21 19:31:23";21,8099;32,09093
"2021-04-21 19:32:23";21,54948;32,38932
"2021-04-21 19:33:23";21,43012;32,42188
"2021-04-21 19:34:23";21,13173;32,0204
"2021-04-21 19:35:23";21,43555;31,43989
"2021-04-21 19:36:23";21,02865;31,6352
"2021-04-21 19:37:23";20,96897;31,42361
"2021-04-21 19:38:23";20,7411;31,21202
"2021-04-21 19:39:23";20,32878;30,80512
"2021-04-21 19:40:23";20,57292;30,89735
"2021-04-21 19:41:23";20,41558;30,59896
"2021-04-21 19:42:23";19,95443;28,8737
"2021-04-21 19:43:23";19,99783;21,97266
"2021-04-21 19:44:23";20,21484;22,18967
"2021-04-21 19:45:23";20,24197;21,88042
"2021-04-21 19:46:23";20,27452;21,75564
"2021-04-21 19:47:23";20,35048;21,79362
"2021-04-21 19:48:24";19,477;21,86415
"2021-04-21 19:49:23";20,06293;22,37956
"2021-04-21 19:50:23";19,69401;21,64713
"2021-04-21 19:51:23";19,80252;21,46267
"2021-04-21 19:52:23";19,1135;21,39214
"2021-04-21 19:53:23";19,23828;22,27648
"2021-04-21 19:54:23";19,38477;22,6671
"2021-04-21 19:55:23";19,46072;25,50998
"2021-04-21 19:56:23";19,34136;28,49392
"2021-04-21 19:57:23";19,1786;28,1901
"2021-04-21 19:58:23";19,29253;28,1467
"2021-04-21 19:59:23";19,35221;27,6747
"2021-04-21 20:00:23";19,28711;28,00022
"2021-04-21 20:01:23";19,34679;28,27691
"2021-04-21 20:02:23";18,99414;27,70725
"2021-04-21 20:03:23";19,09722;21,8967
"2021-04-21 20:04:23";19,24371;21,71766
"2021-04-21 20:05:23";19,50412;21,60373
"2021-04-21 20:06:23";19,5855;21,76107
"2021-04-21 20:07:23";19,43902;21,22938
"2021-04-21 20:08:23";19,31424;22,24935
"2021-04-21 20:09:23";19,12977;22,97635
"2021-04-21 20:10:23";19,41189;23,92578
"2021-04-21 20:11:23";19,37934;23,76302
"2021-04-21 20:12:23";19,54753;23,74132
"2021-04-21 20:13:23";19,50412;23,95833
"2021-04-21 20:14:23";19,31966;23,76302
"2021-04-21 20:15:23";19,477;23,5026
"2021-04-21 20:16:23";19,18403;23,12283
"2021-04-21 20:17:23";19,55838;23,58941
"2021-04-21 20:18:23";18,97787;23,4809
"2021-04-21 20:19:23";19,14063;23,3941
"2021-04-21 20:20:23";18,79883;22,97635
"2021-04-21 20:21:23";18,83138;22,98177
"2021-04-21 20:22:23";18,53841;22,81901
"2021-04-21 20:23:23";18,89106;21,09375
"2021-04-21 20:24:23";18,3648;20,2474
"2021-04-21 20:25:23";18,51671;20,48611
"2021-04-21 20:26:23";18,53841;20,86588
"2021-04-21 20:27:23";18,89106;21,58203
"2021-04-21 20:28:23";18,58181;22,17882
"2021-04-21 20:29:23";19,15148;22,87326
"2021-04-21 20:30:23";18,88021;22,96007
"2021-04-21 20:31:23";19,48242;24,68533
"2021-04-21 20:32:23";19,56923;27,46311
"2021-04-21 20:33:23";20,50781;30,92448
"2021-04-21 20:34:23";21,13173;32,58464
"2021-04-21 20:35:23";21,59831;33,15972
"2021-04-21 20:36:23";21,99978;34,11458
"2021-04-21 20:37:23";22,51519;35,68793
"2021-04-21 20:38:23";23,45378;35,5523
"2021-04-21 20:39:23";24,42491;42,51845
"2021-04-21 20:40:23";25,63477;46,75022
"2021-04-21 20:41:23";24,64193;43,65777
"2021-04-21 20:42:23";25,20616;47,36871
"2021-04-21 20:43:23";27,72895;54,50304
"2021-04-21 20:44:23";28,68381;58,27365
"2021-04-21 20:45:23";29,03103;60,5089
"2021-04-21 20:46:23";29,01476;60,68793
"2021-04-21 20:47:23";29,03103;60,90495
"2021-04-21 20:48:23";29,11784;60,66623
"2021-04-21 20:49:23";28,94423;60,15625
"2021-04-21 20:50:23";29,03103;59,92839
"2021-04-21 20:51:23";28,75434;59,70595
"2021-04-21 20:52:23";28,79774;59,09831
"2021-04-21 20:53:23";28,79232;58,5178
"2021-04-21 20:54:23";28,4885;58,20313
"2021-04-21 20:55:23";28,49392;57,59006
"2021-04-21 20:56:23";28,10872;57,51411
"2021-04-21 20:57:23";28,43967;57,18316
"2021-04-21 20:58:23";28,23893;56,91732
"2021-04-21 20:59:23";27,98394;56,2717
"2021-04-21 21:00:23";27,62044;56,06011
"2021-04-21 21:01:23";27,51194;55,69119
"2021-04-21 21:02:23";27,62044;55,34939
"2021-04-21 21:03:23";27,31662;54,75261
"2021-04-21 21:04:23";27,16471;53,77604
"2021-04-21 21:05:23";26,95313;53,18468
"2021-04-21 21:06:23";28,65668;59,20139
"2021-04-21 21:07:23";31,91732;68,25629
"2021-04-21 21:08:23";32,79622;72,09201
"2021-04-21 21:09:23";31,11979;69,10807
"2021-04-21 21:10:23";31,52127;71,26736
"2021-04-21 21:11:23";31,14149;70,50781
"2021-04-21 21:12:23";31,75456;71,70139
"2021-04-21 21:13:23";31,17405;70,45898
"2021-04-21 21:14:23";30,44162;67,81684
"2021-04-21 21:15:23";31,42361;71,05035
"2021-04-21 21:16:23";31,66775;71,57118
"2021-04-21 21:17:23";31,82509;71,94553
"2021-04-21 21:18:23";31,14149;66,57986
"2021-04-21 21:19:23";34,8036;76,51367
"2021-04-21 21:20:23";29,74175;65,71181
"2021-04-21 21:21:23";32,31337;75,69444
"2021-04-21 21:22:23";30,5013;71,07748
"2021-04-21 21:23:23";32,73112;76,37261
"2021-04-21 21:24:23";30,98416;72,81358
"2021-04-21 21:25:23";30,74002;72,36328
"2021-04-21 21:26:23";30,71289;69,96528
"2021-04-21 21:27:23";30,9082;72,75391
"2021-04-21 21:28:23";30,60981;69,76997
"2021-04-21 21:29:23";32,58464;74,19162
"2021-04-21 21:30:23";28,62956;61,94119
"2021-04-21 21:31:23";32,55751;75,23872
"2021-04-21 21:32:23";30,27344;68,66862
"2021-04-21 21:33:23";31,51042;73,27474
"2021-04-21 21:34:23";31,57552;69,92188
"2021-04-21 21:35:23";31,26085;72,16254
"2021-04-21 21:36:23";30,523;69,44444
"2021-04-21 21:37:23";32,449;78,20638
"2021-04-21 21:38:23";30,44162;68,98872
"2021-04-21 21:39:23";29,17752;63,51997
"2021-04-21 21:40:23";31,64063;73,33984
"2021-04-21 21:41:23";29,98589;66,25977
"2021-04-21 21:42:23";31,27713;71,78277
"2021-04-21 21:43:23";32,15061;76,26953
"2021-04-21 21:44:23";30,60438;67,86024
"2021-04-21 21:45:23";32,48698;74,77213
"2021-04-21 21:46:23";30,74544;70,15517
"2021-04-21 21:47:23";32,23199;74,73416
"2021-04-21 21:48:23";31,11979;69,89474
"2021-04-21 21:49:23";30,53385;66,87826
