"TimeString";"Vol_h_estatico";"Vol_t_estatico"
"2021-04-21 18:09:24";0,7725694;2,092737
"2021-04-21 18:10:24";0,7725694;2,092737
"2021-04-21 18:11:24";0,7732928;2,092014
"2021-04-21 18:12:24";0,7725694;2,09129
"2021-04-21 18:13:24";0,7722077;2,090205
"2021-04-21 18:14:24";0,7729311;2,089482
"2021-04-21 18:15:24";0,7722077;2,088759
"2021-04-21 18:16:24";0,7725694;2,088397
"2021-04-21 18:17:24";0,7729311;2,088397
"2021-04-21 18:18:24";0,7725694;2,087674
"2021-04-21 18:19:24";0,7725694;2,086589
"2021-04-21 18:20:24";0,7725694;2,085503
"2021-04-21 18:21:24";0,7736545;2,085503
"2021-04-21 18:22:24";0,7729311;2,085142
"2021-04-21 18:23:24";0,7736545;2,085503
"2021-04-21 18:24:24";0,7743779;2,08478
"2021-04-21 18:25:24";0,7736545;2,084057
"2021-04-21 18:26:24";0,7743779;2,08261
"2021-04-21 18:27:24";0,7729311;2,082972
"2021-04-21 18:28:24";0,7736545;2,082972
"2021-04-21 18:29:24";0,7736545;2,081525
"2021-04-21 18:30:24";0,7740162;2,08044
"2021-04-21 18:31:24";0,7743779;2,080801
"2021-04-21 18:32:24";0,7743779;2,079716
"2021-04-21 18:33:24";0,7743779;2,079716
"2021-04-21 18:34:24";0,7736545;2,079716
"2021-04-21 18:35:24";0,7740162;2,078631
"2021-04-21 18:36:24";0,7736545;2,076823
"2021-04-21 18:37:24";0,7743779;2,077185
"2021-04-21 18:38:24";0,7743779;2,076823
"2021-04-21 18:39:24";0,7743779;2,076461
"2021-04-21 18:40:24";0,7747396;2,076461
"2021-04-21 18:41:24";0,7743779;2,075376
"2021-04-21 18:42:24";0,7743779;2,076099
"2021-04-21 18:43:24";0,7743779;2,073929
"2021-04-21 18:44:24";0,7747396;2,073929
"2021-04-21 18:45:24";0,7743779;2,073568
"2021-04-21 18:46:24";0,7747396;2,072844
"2021-04-21 18:47:24";0,7743779;2,072483
"2021-04-21 18:48:24";0,7747396;2,071036
"2021-04-21 18:49:24";0,7743779;2,071036
"2021-04-21 18:50:24";0,7743779;2,070313
"2021-04-21 18:51:24";0,7751012;2,070674
"2021-04-21 18:52:24";0,7743779;2,069227
"2021-04-21 18:53:24";0,7751012;2,069227
"2021-04-21 18:54:24";0,7751012;2,068142
"2021-04-21 18:55:24";0,7747396;2,068142
"2021-04-21 18:56:24";0,7747396;2,068142
"2021-04-21 18:57:24";0,7758247;2,067057
"2021-04-21 18:58:24";0,7758247;2,065972
"2021-04-21 18:59:24";0,7754629;2,065972
"2021-04-21 19:00:23";0,7761863;2,06561
"2021-04-21 19:01:23";0,7758247;2,064887
"2021-04-21 19:02:23";0,7751012;2,064525
"2021-04-21 19:03:23";0,7769097;2,064525
"2021-04-21 19:04:23";0,776548;2,063802
"2021-04-21 19:05:23";0,7758247;2,063079
"2021-04-21 19:06:23";0,7758247;2,062355
"2021-04-21 19:07:23";0,7754629;2,061994
"2021-04-21 19:08:23";0,7754629;2,062355
"2021-04-21 19:09:24";0,776548;2,061632
"2021-04-21 19:10:23";0,776548;2,061632
"2021-04-21 19:11:23";0,7769097;2,060909
"2021-04-21 19:12:23";0,7758247;2,060909
"2021-04-21 19:13:23";0,7769097;2,059462
"2021-04-21 19:14:23";0,776548;2,059462
"2021-04-21 19:15:23";0,7769097;2,058738
"2021-04-21 19:16:23";0,7761863;2,058738
"2021-04-21 19:17:23";0,776548;2,057653
"2021-04-21 19:18:23";0,776548;2,057292
"2021-04-21 19:19:23";0,7769097;2,057292
"2021-04-21 19:20:23";0,7772714;2,057292
"2021-04-21 19:21:23";0,7772714;2,056568
"2021-04-21 19:22:23";0,7772714;2,056568
"2021-04-21 19:23:23";0,7769097;2,056568
"2021-04-21 19:24:23";0,7772714;2,055483
"2021-04-21 19:25:23";0,7772714;2,05476
"2021-04-21 19:26:23";0,7772714;2,054398
"2021-04-21 19:27:23";0,7769097;2,053675
"2021-04-21 19:28:23";0,7772714;2,053313
"2021-04-21 19:29:24";0,7772714;2,052951
"2021-04-21 19:30:23";0,7772714;2,052228
"2021-04-21 19:31:23";0,7772714;2,052228
"2021-04-21 19:32:23";0,7772714;2,052951
"2021-04-21 19:33:23";0,7772714;2,052228
"2021-04-21 19:34:23";0,7772714;2,050781
"2021-04-21 19:35:23";0,7772714;2,050781
"2021-04-21 19:36:23";0,7772714;2,050058
